tomb_ja,pref_en,tomb_en
鳥取1_梶山古墳,Tottori,Kajiyama
鳥取2_福庭古墳,Tottori,Fukuba
鳥取11_鷺山古墳,Tottori,Sagiyama
鳥取15_坊ヶ塚古墳,Tottori,Bogazuka
鳥取19_空山古墳群,Tottori,Sorayama
鳥取35_睦逢11号墳,Tottori,Mutsuo_No11
鳥取36_殿15号墳,Tottori,Tono_No15
鳥取39_阿古山22号墳,Tottori,Akoyama_No22
鳥取41_三明寺古墳,Tottori,Sanmyoji
鳥取46_北福古墳群,Tottori,Kitafuku
鳥取49_上下古墳群,Tottori,Hashita
鳥取50_天神垣古墳,Tottori,Tenjingaki
鳥取51_長者ヶ平古墳,Tottori,Chojaganaru
鳥取52_晩田31号墳,Tottori,Banda_No31
